"Plant Name, Unit Number",State,County,NRC Region,Licensee,Parent Company Utility Name,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Licensed MWt,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Years of Operation through 12/31/2019,STAR,class,
"Arkansas Nuclear One, Unit 1",Arkansas,London,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,B&W LLP,BECH,BECH,2568,76%,87%,72%,82%,98%,56%,102%,87%,90%,99%,83%,45,0,0,0
"Arkansas Nuclear One, Unit 2",Arkansas,London,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,3026,82%,70%,94%,89%,85%,91%,93%,90%,97%,90%,91%,41,0,0,0
"Beaver Valley Power Station, Unit 1",Pennsylvania,Shippingport,1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,PWR-DRYAMB,WEST 3LP,S&W,S&W,2900,92%,99%,91%,90%,86%,86%,92%,101%,91%,92%,101%,43,0,1,1
"Beaver Valley Power Station, Unit 2",Pennsylvania,Shippingport,1,FirstEnergy Nuclear Operating Co.,FirstEnergy Nuclear Operating Company,PWR-DRYAMB,WEST 3LP,S&W,S&W,2900,90%,90%,97%,90%,98%,97%,91%,102%,84%,87%,103%,32,0,1,1
"Braidwood Station, Unit 1",Illinois,Braceville,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,3645,93%,98%,90%,93%,103%,95%,91%,101%,89%,95%,101%,32,0,1,1
"Braidwood Station, Unit 2",Illinois,Braceville,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,3645,92%,88%,95%,91%,96%,98%,93%,93%,99%,93%,92%,31,0,1,0
"Browns Ferry Nuclear Plant, Unit 1",Alabama,Limestone County,2,Tennessee Valley Authority ,Tennessee Valley Authority,BWR-MARK 1,GE 4,TVA,TVA,3952,82%,97%,83%,94%,90%,94%,88%,91%,86%,94%,88%,46,0,0,0
"Browns Ferry Nuclear Plant, Unit 2",Alabama,Limestone County,2,Tennessee Valley Authority ,Tennessee Valley Authority,BWR-MARK 1,GE 4,TVA,TVA,3952,97%,83%,94%,85%,98%,79%,99%,80%,91%,94%,98%,45,0,0,0
"Browns Ferry Nuclear Plant, Unit 3",Alabama,Limestone County,2,Tennessee Valley Authority ,Tennessee Valley Authority,BWR-MARK 1,GE 4,TVA,TVA,3952,76%,93%,80%,92%,88%,89%,83%,87%,81%,95%,81%,43,0,0,0
"Brunswick Steam Electric Plant, Unit 1",North Carolina,Southport,2,"Duke Energy Progress, LLC",Duke Energy,BWR-MARK 1,GE 4,UE&C,BRRT,2923,85%,93%,83%,93%,89%,92%,77%,100%,83%,98%,85%,43,0,0,0
"Brunswick Steam Electric Plant, Unit 2",North Carolina,Southport,2,"Duke Energy Progress, LLC",Duke Energy,BWR-MARK 1,GE 4,UE&C,BRRT,2923,93%,82%,92%,81%,98%,73%,98%,79%,99%,80%,95%,45,0,0,1
"Byron Station, Unit 1",Illinois,Byron,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,3645,94%,89%,97%,88%,97%,96%,88%,88%,101%,94%,95%,34,0,1,0
"Byron Station, Unit 2",Illinois,Byron,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,3645,100%,89%,86%,94%,94%,86%,94%,93%,96%,102%,96%,32,0,1,1
Callaway Plant,Missouri,Fulton,4,Union Electric Co.,AmerenUE,PWR-DRYAMB,WEST 4LP,BECH,DANI,3565,100%,77%,87%,96%,89%,77%,103%,90%,86%,98%,90%,35,1,0,1
"Calvert Cliffs Nuclear Power Plant, Unit 1",Maryland,Lusby,1,"Calvert Cliffs Nuclear Power Plant, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",PWR-DRYAMB,CE,BECH,BECH,2737,92%,97%,89%,97%,91%,97%,81%,101%,90%,98%,93%,45,0,1,0
"Calvert Cliffs Nuclear Power Plant, Unit 2",Maryland,Lusby,1,"Calvert Cliffs Nuclear Power Plant, LLC – Owner
Exelon Generation Company, LLC – Operator","Exelon Corporation, LLC",PWR-DRYAMB,CE,BECH,BECH,2737,100%,91%,95%,86%,100%,81%,101%,92%,97%,93%,99%,43,0,1,1
"Catawba Nuclear Station, Unit 1",South Carolina,York,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-ICECND,WEST 4LP,DUKE,DUKE,3469,93%,90%,97%,88%,86%,96%,89%,89%,100%,91%,89%,34,0,1,1
"Catawba Nuclear Station, Unit 2",South Carolina,York,2,"Duke Energy Carolinas, LLC",Duke Energy,PWR-ICECND,WEST 4LP,DUKE,DUKE,3469,91%,96%,88%,86%,100%,86%,92%,101%,92%,90%,103%,33,0,1,2
"Clinton Power Station, Unit 1",Illinois,Clinton,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 3,GE 6,S&L,BALD,3473,88%,84%,89%,87%,97%,82%,100%,93%,92%,97%,99%,32,0,1,0
